;appearance_time;earliest_landing_time;target_landing_time;latest_landing_time;penality_cost_earliest;penality_cost_latest;separation_times
0;54;129;155;559;10.00;10.00;['99999', '3', '15', '15', '15', '15', '15', '15', '15', '15']
1;120;195;258;744;10.00;10.00;['3', '99999', '15', '15', '15', '15', '15', '15', '15', '15']
2;14;89;98;510;30.00;30.00;['15', '15', '99999', '8', '8', '8', '8', '8', '8', '8']
3;21;96;106;521;30.00;30.00;['15', '15', '8', '99999', '8', '8', '8', '8', '8', '8']
4;35;110;123;555;30.00;30.00;['15', '15', '8', '8', '99999', '8', '8', '8', '8', '8']
5;45;120;135;576;30.00;30.00;['15', '15', '8', '8', '8', '99999', '8', '8', '8', '8']
6;49;124;138;577;30.00;30.00;['15', '15', '8', '8', '8', '8', '99999', '8', '8', '8']
7;51;126;140;573;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '99999', '8', '8']
8;60;135;150;591;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '99999', '8']
9;85;160;180;657;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '99999']
